Date,Open,High,Low,Close,Adj Close,Volume
2025-05-19,207.91,209.48,204.26,208.78,208.78,45310800
2025-05-16,212.36,212.57,209.77,211.26,211.26,54737900
2025-05-15,210.95,212.96,209.54,211.45,211.45,45029500
2025-05-14,212.43,213.94,210.58,212.33,212.33,49325800
2025-05-13,210.43,213.4,209.0,212.93,212.93,51909300
2025-05-12,210.97,211.27,206.75,210.79,210.79,63775800
2025-05-09,199.0,200.54,197.54,198.53,198.27,36453900
2025-05-08,197.72,200.05,194.68,197.49,197.23,50478900
2025-05-07,199.17,199.44,193.25,196.25,195.99,68536700
2025-05-06,198.21,200.65,197.02,198.51,198.25,51216500
2025-05-05,203.1,204.1,198.21,198.89,198.63,69018500
2025-05-02,206.09,206.99,202.16,205.35,205.08,101010600
2025-05-01,209.08,214.56,208.9,213.32,213.04,57365700
2025-04-30,209.3,213.58,206.67,212.5,212.22,52286500
2025-04-29,208.69,212.24,208.37,211.21,210.93,36827600
2025-04-28,210.0,211.5,207.46,210.14,209.86,38743100
2025-04-25,206.37,209.75,206.2,209.28,209.01,38222300
2025-04-24,204.89,208.83,202.94,208.37,208.1,47311000
2025-04-23,206.0,208.0,202.8,204.6,204.33,52929200
2025-04-22,196.12,201.59,195.97,199.74,199.48,52976400
2025-04-21,193.27,193.8,189.81,193.16,192.91,46742500
2025-04-17,197.2,198.83,194.42,196.98,196.72,51334300
2025-04-16,198.36,200.7,192.37,194.27,194.02,59732400
2025-04-15,201.86,203.51,199.8,202.14,201.88,51343900
2025-04-14,211.44,212.94,201.16,202.52,202.25,101352900
2025-04-11,186.1,199.54,186.06,198.15,197.89,87435900
2025-04-10,189.07,194.78,183.0,190.42,190.17,121880000
2025-04-09,171.95,200.61,171.89,198.85,198.59,184395900
2025-04-08,186.7,190.34,169.21,172.42,172.19,120859500
2025-04-07,177.2,194.15,174.62,181.46,181.22,160466300
2025-04-04,193.89,199.88,187.34,188.38,188.13,125910900
2025-04-03,205.54,207.49,201.25,203.19,202.92,103419000
